stitle,n()
[Arthrographis] pinicola CBS 653.89 ITS region; from TYPE material,1
[Bionectria] vesiculosa HMAS 183151 ITS region; from TYPE material,1
[Candida] anglica CBS 4262 ITS region; from TYPE material,26
[Candida] asparagi CBS 9770 ITS region; from TYPE material,22
[Candida] awuaii CBS 11011 ITS region; from TYPE material,6
[Candida] berthetii NBRC 10266 ITS region; from TYPE material,5
[Candida] boidinii CBS 2428 ITS region; from TYPE material,3
[Candida] bracarensis CBS 10154 ITS region; from TYPE material,1
[Candida] buinensis CBS 6796 ITS region; from TYPE material,68
[Candida] californica CBS 989 ITS region; from TYPE material,11
[Candida] chumphonensis CBS 12096 ITS region; from TYPE material,4
[Candida] dendrica CBS 6151 ITS region; from TYPE material,5
[Candida] dendronema CBS 6270 ITS region; from TYPE material,38
[Candida] diospyri CGMCC 2.2525 ITS region; from TYPE material,1
[Candida] duobushaemulonis CBS 7798 ITS region; from TYPE material,16
[Candida] fennica CBS 5928 ITS region; from TYPE material,1
[Candida] germanica CBS 4105 ITS region; from TYPE material,26
[Candida] glaebosa MUCL 29834 ITS region; from TYPE material,2
[Candida] gotoi CBS 8531 ITS region; from TYPE material,59
[Candida] haemulonis CBS 5149 ITS region; from TYPE material,12
[Candida] hsintzibuensis CBS 11427 ITS region; from TYPE material,8
[Candida] inconspicua CBS 180 ITS region; from TYPE material,1
[Candida] kanchanaburiensis CBS 11266 ITS region; from TYPE material,84
[Candida] kaohsiungensis CBS 11435 ITS region; from TYPE material,12
[Candida] keroseneae IMI 395605 ITS region; from TYPE material,2
[Candida] kungkrabaensis CBS 10927 ITS region; from TYPE material,1
[Candida] maris CBS 5151 ITS region; from TYPE material,10
[Candida] maritima CBS 5107 ITS region; from TYPE material,36
[Candida] mattraensis CBS 12097 ITS region; from TYPE material,4
[Candida] methanosorbosa CBS 7029 ITS region; from TYPE material,13
[Candida] montana CBS 8057 ITS region; from TYPE material,28
[Candida] mycetangii CBS 8675 ITS region; from TYPE material,36
[Candida] nanaspora CBS 7200 ITS region; from TYPE material,38
[Candida] oceani DSM 23777 ITS region; from TYPE material,38
[Candida] odintsovae CBS 6026 ITS region; from TYPE material,5
[Candida] orba CBS 8782 ITS region; from TYPE material,20
[Candida] oregonensis CBS 5036 ITS region; from TYPE material,21
[Candida] ovalis CBS 7298 ITS region; from TYPE material,4
[Candida] patagonica CECT 12029 ITS region; from TYPE material,1
[Candida] peoriensis CBS 8800 ITS region; from TYPE material,39
[Candida] pini CBS 970 ITS region; from TYPE material,6
[Candida] pseudoaaseri CBS 11170 ITS region; from TYPE material,6
[Candida] pseudoglaebosa ATCC 28472 ITS region; from TYPE material,2
[Candida] pseudohaemulonis CBS 10004 ITS region; from TYPE material,37
[Candida] pseudointermedia CBS 6918 ITS region; from TYPE material,16
[Candida] pseudolambica CBS 2063 ITS region; from TYPE material,6
[Candida] pseudorhagii CBS 9998 ITS region; from TYPE material,60
[Candida] qinlingensis CBS 9768 ITS region; from TYPE material,5
[Candida] quercitrusa CBS 4412 ITS region; from TYPE material,5
[Candida] restingae CBS 8493 ITS region; from TYPE material,15
[Candida] rhagii MUCL 29933 ITS region; from TYPE material,14
[Candida] ruelliae MTCC 7739 ITS region; from TYPE material,12
[Candida] rugopelliculosa CBS 6377 ITS region; from TYPE material,6
[Candida] saitoana CBS 940 ITS region; from TYPE material,2
[Candida] sonorensis CBS 6792 ITS region; from TYPE material,7
[Candida] spencermartinsiae CBS 10894 ITS region; from TYPE material,1
[Candida] succiphila CBS 8003 ITS region; from TYPE material,38
[Candida] tallmaniae CBS 8575 ITS region; from TYPE material,108
[Candida] tammaniensis CBS 8504 ITS region; from TYPE material,108
[Candida] taylorii CBS 8508 ITS region; from TYPE material,29
[Candida] thailandica CBS 10610 ITS region; from TYPE material,2
[Candida] tolerans CBS 8613 ITS region; from TYPE material,22
[Candida] trypodendri CBS 8505 ITS region; from TYPE material,38
[Candida] tunisiensis CBS 12513 ITS region; from TYPE material,60
[Candida] uthaithanina CBS 10932 ITS region; from TYPE material,2
[Candida] vrieseae CBS 10829 ITS region; from TYPE material,38
[Candida] wancherniae CBS 12090 ITS region; from TYPE material,17
[Candida] wangnamkhiaoensis CBS 11695 ITS region; from TYPE material,6
[Chalara] clidemiae ITS region; from TYPE material,1
[Chloridium] paucisporum CBS 445.86 ITS region; from TYPE material,1
[Cryptococcus] albidus var. kuetzingii CBS 1926 ITS region; from TYPE material,1
[Cryptococcus] albidus var. ovalis CBS 5810 ITS region; from TYPE material,1
[Cryptococcus] antarcticus var. circumpolaris CBS 7689 ITS region; from TYPE material,1
[Cryptococcus] ater ATCC 14247 ITS region; from TYPE material,1
[Cryptococcus] cuniculi CBS 10309 ITS region; from TYPE material,35
[Hypocrea] ampulliformis JCM 11982 ITS region; from TYPE material,2
Acaulospora cavernata BEG 33 ITS region; from TYPE material,54
Acaulospora colombiana E W5795 ITS region; from TYPE material,28
Acaulospora entreriana E W5476 ITS region; from TYPE material,164
Acaulospora laevis BEG 13 ITS region; from TYPE material,246
Acaulospora spinosa E W3574 ITS region; from TYPE material,72
Achaetomium strumarium CBS 333.67 ITS region; from TYPE material,1
Achroiostachys aurantispora DAOM 225565 ITS region; from TYPE material,1
Achroiostachys betulicola ITS region; from TYPE material,8
Achroiostachys humicola CBS 868.73 ITS region; from TYPE material,9
Achroiostachys levigata ITS region; from TYPE material,9
Achroiostachys phyllophila ITS region; from TYPE material,9
Achroiostachys saccharicola CBS 268.76 ITS region; from TYPE material,3
Acremoniopsis suttonii FMR 11780 ITS region; from TYPE material,2
Acremonium acutatum CBS 682.71 ITS region; from TYPE material,1
Acremonium alcalophilum JCM 7366 ITS region; from TYPE material,4
Acremonium biseptum CBS 750.69 ITS region; from TYPE material,1
Acremonium brachypenium CBS 866.73 ITS region; from TYPE material,6
Acremonium cavaraeanum CBS 101149 ITS region; from TYPE material,7
Acremonium dichromosporum CBS 638.73 ITS region; from TYPE material,6
