binomial	0
Galactomyces pseudocandidus CBS 626.83	23
Tausonia pamirica CBS 8428	18
Lysurus cruciatus MA Fungi 26792	6
Pichia cecembensis NRRL Y-27985	6
Rhodotorula mucilaginosa CBS 316	5
Candida sake CBS 159	5
Coniochaeta lignicola CBS 267.33	4
Candida boidinii CBS 2428	3
Mortierella globalpina CBS 360.70	3
Lactarius laccarioides MFLU KW336	2
Cyberlindnera jadinii CBS 1600	1
Trigonopsis variabilis CBS 1040	1
Lasionectria hilhorstii CBS 144938	1
Naganishia albidosimilis JCM 8843	1
Pseudogymnoascus verrucosus UAMH 10579	1
Talaromyces thailandensis CBS 133147	1
Calonectria pseudoreteaudii CBS 123694	1
